categoryName,brandName,productName,displayName,sku,barcode,costPrice,mrp,profitMargin,gstRate,quantity
Cable Accessories,Jainson,Copper Lug,Copper Lug 70 Sqmm,JNS-LUG-70,8901234500112,26,42,62,18,380
PVC Pipe,Ajay,PVC Pipe,2 Inch PVC Pipe,AJY-PVC-2,8901234500113,220,310,41,18,75
PVC Pipe,Supreme,PVC Pipe,1.25 Inch PVC Pipe,SPR-PVC-1.25,8901234500114,125,188,50,18,105
Lighting,Philips,Street Light,40W LED Street Light,PHL-ST-40W,8901234500115,1850,2450,32,18,18
Fan,Crompton,Wall Fan,400mm Wall Fan,CRP-WF-400,8901234500116,2450,3180,30,18,7
Switches,Anchor,Roma Plus Switch,Roma Plus 32A Switch,ANC-RP-32A,8901234500117,145,210,45,18,44
Sockets,GM,Four Five Socket,GM USB Charging Socket,GM-USB-SKT,8901234500118,185,275,49,18,36
Wire,Polycab,FRLSH Wire,4 Sqmm Black,PLY-4-BLK,8901234500119,2450,2950,20,18,15
MCB,Hager,Hager MCB,Hager 25A SP,HGR-25A-SP,8901234500120,168,220,31,18,31
MCB,Hager,Hager MCB,Hager 40A DP,HGR-40A-DP,8901234500121,295,380,29,18,24
MCB,ABB,System Pro MCB,System Pro 10A SP,ABB-SP-10A,8901234500122,138,182,32,18,40
MCB,ABB,System Pro MCB,System Pro 20A SP,ABB-SP-20A,8901234500123,152,198,30,18,34
RCCB,ABB,System Pro RCCB,System Pro RCCB 40A,ABB-RCCB-40A,8901234500124,1320,1720,30,18,13
Switches,Legrand,Arteor Switch,Arteor 6A Switch,LGR-ART-6A,8901234500125,88,132,50,18,78
Switches,Legrand,Arteor Switch,Arteor Bell Push,LGR-ART-BELL,8901234500126,110,168,53,18,52
Sockets,Legrand,Arteor Socket,Arteor 16A Socket,LGR-ART-SKT16,8901234500127,145,220,52,18,45
Lighting,Wipro,LED Downlight,15W Downlight,WPR-DL-15W,8901234500128,320,480,50,18,38
Lighting,Havells,LED Flood Light,50W Flood Light,HVL-FLD-50W,8901234500129,1450,1980,37,18,20
Lighting,Syska,LED Strip,5 Meter LED Strip,SYS-STRIP-5M,8901234500130,520,780,50,18,26
Fan,Orient,Wall Fan,400mm Wall Fan,ORI-WF-400,8901234500131,2350,3050,30,18,8
Fan,Usha,Table Fan,400mm Table Fan,USH-TF-400,8901234500132,1650,2250,36,18,12
Wire,Finolex,Industrial Cable,6 Sqmm Copper Cable,FNX-6-CBL,8901234500133,3650,4450,22,18,10
Wire,RR Kabel,FRLS Wire,2.5 Sqmm White,RR-2.5-WHT,8901234500134,1480,1820,23,18,18
Conduit,AKG,PVC Conduit,32mm Heavy Pipe,AKG-32MM,8901234500135,185,260,41,18,130
Conduit,Precision,PVC Conduit,32mm Flex Pipe,PRE-FLX-32,8901234500136,210,295,40,18,120
Indicator,HPL,LED Indicator,Blue Indicator,HPL-BLU,8901234500137,28,48,71,18,200
Indicator,Salzer,Buzzer Indicator,Panel Buzzer 24V,SLZ-BUZ-24V,8901234500138,95,145,53,18,85
Cable Accessories,Dowells,Cable Gland,Brass Cable Gland 32mm,DWL-GLD-32,8901234500139,42,68,62,18,260
Cable Accessories,Jainson,Copper Lug,Copper Lug 95 Sqmm,JNS-LUG-95,8901234500140,38,62,63,18,320
PVC Pipe,Prince,PVC Pipe,2 Inch PVC Pipe,PRC-PVC-2,8901234500141,225,325,44,18,70
PVC Pipe,Supreme,CPVC Pipe,1 Inch CPVC Pipe,SPR-CPVC-1,8901234500142,165,245,48,18,92
Sensor,Honeywell,Smoke Sensor,Wireless Smoke Sensor,HNW-WSMK,8901234500143,1850,2450,32,18,10
Sensor,CP Plus,Motion Sensor,Outdoor Motion Sensor,CPP-MTN-OUT,8901234500144,1450,1980,36,18,14
Distribution Board,Havells,Metal DB Box,16 Way TPN,HVL-DB-16W,8901234500145,2850,3650,28,18,6
Distribution Board,Legrand,Metal DB Box,12 Way TPN,LGR-DB-12W-TPN,8901234500146,2650,3480,31,18,7
Exhaust Fan,Crompton,Industrial Exhaust Fan,15 Inch Industrial Fan,CRP-IND-15,8901234500147,3650,4650,27,18,5
Exhaust Fan,Havells,Fresh Air Fan,Fresh Air Ventilation Fan,HVL-FRESH-AIR,8901234500148,2850,3750,32,18,8
Lighting,Philips,Smart Bulb,12W WiFi Smart Bulb,PHL-SMART-12W,8901234500149,650,980,51,18,30
Lighting,Wipro,Emergency Light,Rechargeable Emergency Light,WPR-EMG-LGT,8901234500150,850,1280,50,18,24
