categoryName,brandName,productName,displayName,sku,barcode,costPrice,sellingPrice,gstRate,quantity
Lighting,Wipro,LED Panel,15W Round,WPR-15-RND,8901234500045,320,450,18,35
Lighting,Wipro,LED Panel,18W Square,WPR-18-SQR,8901234500046,350,490,18,28
Lighting,Syska,LED Bulb,9W Bulb,SYS-9W,8901234500047,50,88,12,100
Lighting,Syska,LED Tube,20W Tube Light,SYS-20W-TUBE,8901234500048,210,320,18,65
Fan,Havells,Ceiling Fan,1200mm White,HVL-FAN-WHT,8901234500049,1850,2450,18,14
Fan,Havells,Ceiling Fan,1200mm Brown,HVL-FAN-BRN,8901234500050,1850,2450,18,12
Fan,Crompton,High Speed Fan,1200mm HS Fan,CRP-HS-1200,8901234500051,2100,2750,18,10
Fan,Usha,Ceiling Fan,1200mm Ivory,USH-1200-IVY,8901234500052,1900,2500,18,11
Distribution Board,Legrand,DB Box,4 Way SPN,LGR-DB-4W,8901234500053,650,850,18,18
Distribution Board,Legrand,DB Box,8 Way SPN,LGR-DB-8W,8901234500054,950,1250,18,12
Distribution Board,Schneider,DB Box,6 Way SPN,SCH-DB-6W,8901234500055,820,1100,18,14
Distribution Board,Havells,DB Box,8 Way SPN,HVL-DB-8W,8901234500056,980,1280,18,10
Conduit,AKG,PVC Conduit,20mm PVC Pipe,AKG-20MM,8901234500057,85,125,18,200
Conduit,AKG,PVC Conduit,25mm PVC Pipe,AKG-25MM,8901234500058,120,170,18,160
Conduit,Precision,PVC Conduit,20mm Heavy Pipe,PRE-20MM,8901234500059,95,140,18,180
Conduit,Precision,PVC Conduit,25mm Heavy Pipe,PRE-25MM,8901234500060,130,185,18,150
Indicator,HPL,LED Indicator,Red Indicator,HPL-RED,8901234500061,25,45,18,250
Indicator,HPL,LED Indicator,Green Indicator,HPL-GRN,8901234500062,25,45,18,240
Indicator,HPL,LED Indicator,Yellow Indicator,HPL-YLW,8901234500063,25,45,18,230
Modular Plate,Anchor,Roma Plate,6 Module Plate,ANC-PLT-6M,8901234500064,38,60,18,110
Modular Plate,Anchor,Roma Plate,8 Module Plate,ANC-PLT-8M,8901234500065,45,70,18,95
Modular Plate,Legrand,Myrius Plate,6 Module Plate,LGR-PLT-6M,8901234500066,48,75,18,100
Modular Plate,Legrand,Myrius Plate,8 Module Plate,LGR-PLT-8M,8901234500067,58,88,18,85
Sensor,Panasonic,Motion Sensor,PIR Motion Sensor,PAN-PIR,8901234500068,850,1250,18,16
Sensor,Panasonic,Door Sensor,Magnetic Door Sensor,PAN-DOOR,8901234500069,650,980,18,20
Exhaust Fan,Crompton,Exhaust Fan,9 Inch Exhaust Fan,CRP-EXH-9,8901234500070,1450,1950,18,12
Exhaust Fan,Havells,Exhaust Fan,12 Inch Exhaust Fan,HVL-EXH-12,8901234500071,1850,2450,18,10
Cable Accessories,Dowells,Lug,Copper Lug 25 Sqmm,DWL-LUG-25,8901234500072,12,22,18,500
Cable Accessories,Dowells,Lug,Copper Lug 50 Sqmm,DWL-LUG-50,8901234500073,18,30,18,450
Cable Accessories,Jainson,Gland,Brass Gland 20mm,JNS-GLD-20,8901234500074,25,42,18,350
Cable Accessories,Jainson,Gland,Brass Gland 25mm,JNS-GLD-25,8901234500075,32,52,18,320
PVC Pipe,Finolex,PVC Pipe,1 Inch PVC Pipe,FNX-PVC-1,8901234500076,95,145,18,130
PVC Pipe,Finolex,PVC Pipe,1.5 Inch PVC Pipe,FNX-PVC-1.5,8901234500077,145,210,18,95
PVC Pipe,Prince,PVC Pipe,1 Inch PVC Pipe,PRC-PVC-1,8901234500078,90,140,18,125
PVC Pipe,Prince,PVC Pipe,1.5 Inch PVC Pipe,PRC-PVC-1.5,8901234500079,140,205,18,90
